,state,policy,before_7,after_7,before_15,after_15,diff_7,diff_15
0,AL,stay at home order,0.12410704532863437,0.09979891912193573,0.19999293177674282,0.07469293246736686,-0.024308126206698644,-0.12529999930937596
1,AL,face mask mandatory,0.03151794293900112,0.027068568409089444,0.030464222678851405,0.02340228117218257,-0.004449374529911676,-0.007061941506668834
2,AL,restaurant close,0.8633705570352759,0.29257701100669187,0.33702534573965703,0.19999293177674282,-0.570793546028584,-0.1370324139629142
3,AL,business close,0.27562501945057427,0.12053415666295231,0.5505609170995083,0.10680186482513965,-0.15509086278762196,-0.4437590522743686
4,AK,stay at home order,0.3280373981997544,0.07161337454940409,0.3611521645169957,0.060974618588752305,-0.25642402365035033,-0.3001775459282434
5,AK,face mask mandatory,0.013324972388158995,0.010612668538333647,0.02472843861249463,0.007463453608522075,-0.0027123038498253482,-0.017264985003972555
6,AK,restaurant close,0.2917083420907467,0.3377420193505529,0.12687761019082644,0.20997707748363648,0.04603367725980623,0.08309946729281004
7,AK,business close,0.3280373981997544,0.07161337454940409,0.3611521645169957,0.060974618588752305,-0.25642402365035033,-0.3001775459282434
8,AZ,stay at home order,0.2170005082775046,0.09842168596773071,0.32942965088387455,0.07590496778206801,-0.1185788223097739,-0.25352468310180654
9,AZ,face mask mandatory,0.042834847802704745,0.04178763194043844,0.047398155235021555,0.03882024738884993,-0.0010472158622663041,-0.008577907846171628
10,AZ,restaurant close,0.3007430289425703,0.33183201582664146,0.2250334656419144,0.22815564983889147,0.031088986884071135,0.0031221841969770736
11,AZ,business close,0.2425564259655537,0.1039058762115086,0.3488365750737594,0.07773198050421892,-0.13865054975404512,-0.2711045945695405
12,AR,stay at home order,0.1355561107986596,0.0827228441217347,0.26235820456617454,0.06747232815215298,-0.052833266676924895,-0.19488587641402155
13,AR,face mask mandatory,0.02297728708217983,0.021318884810137106,0.023876418526818544,0.01947115289964274,-0.001658402272042725,-0.004405265627175803
14,AR,restaurant close,0.40236558788172117,0.21282512811363574,0.3195079107728942,0.1430518237691274,-0.18954045976808542,-0.1764560870037668
15,AR,business close,0.08902519991012103,0.06285794267334599,0.1430518237691274,0.057173245087644986,-0.026167257236775043,-0.08587857868148241
16,CA,stay at home order,0.23507912473969883,0.20209975059911622,0.24658127529521767,0.1596392522068848,-0.03297937414058261,-0.08694202308833288
17,CA,face mask mandatory,0.021006976858934934,0.027831132824266414,0.021153327406003175,0.02920497518846865,0.00682415596533148,0.008051647782465476
18,CA,restaurant close,0.23507912473969883,0.20209975059911622,0.24658127529521767,0.1596392522068848,-0.03297937414058261,-0.08694202308833288
19,CA,business close,0.23507912473969883,0.20209975059911622,0.24658127529521767,0.1596392522068848,-0.03297937414058261,-0.08694202308833288
20,CO,stay at home order,0.2642606179784177,0.13366728236969094,0.2830900624166022,0.09637034233144015,-0.13059333560872677,-0.18671972008516202
21,CO,face mask mandatory,0.012401198577630002,0.012707405214668732,0.010664817752312317,0.012306367237126858,0.00030620663703873063,0.0016415494848145418
22,CO,restaurant close,0.4041997170694003,0.2594953893632703,0.4152399275904428,0.20911648821820839,-0.14470432770612995,-0.20612343937223443
23,CO,business close,0.2642606179784177,0.13366728236969094,0.2830900624166022,0.09637034233144015,-0.13059333560872677,-0.18671972008516202
24,CT,stay at home order,0.3026453643403251,0.21043777497579752,0.47413508892237366,0.1570264098057117,-0.09220758936452755,-0.31710867911666196
25,CT,face mask mandatory,0.05768885807409596,0.037315505233935786,0.08693076328993588,0.028413078816905468,-0.020373352840160175,-0.05851768447303041
26,CT,restaurant close,0.6997994869342874,0.3706471007135894,0.28091090724126566,0.3018821231223039,-0.329152386220698,0.02097121588103823
27,CT,business close,0.3919036610533422,0.2606983409958765,0.4946397900219295,0.19354015128453717,-0.13120532005746566,-0.3010996387373923
28,DE,stay at home order,0.30656337332913264,0.17501383350490896,0.3629153701797354,0.16714627767432222,-0.13154953982422368,-0.1957690925054132
29,DE,face mask mandatory,0.0550008639590156,0.028878716417498618,0.06694988748888431,0.029977486800799813,-0.026122147541516982,-0.036972400688084495
30,DE,restaurant close,0.34590019263235616,0.30656337332913264,0.1486983549970351,0.2324856054625426,-0.039336819303223525,0.0837872504655075
31,DE,business close,0.30656337332913264,0.17501383350490896,0.3629153701797354,0.16714627767432222,-0.13154953982422368,-0.1957690925054132
32,DC,stay at home order,0.1422340198427947,0.1286023761486239,0.21647277799232056,0.09292198929785855,-0.013631643694170803,-0.12355078869446201
33,DC,face mask mandatory,0.058780852963740804,0.047894934254436805,0.09292198929785855,0.04303726645043282,-0.010885918709303999,-0.04988472284742573
34,DC,restaurant close,0.4085438884286994,0.2887112743647644,0.2288386014896442,0.21647277799232056,-0.11983261406393497,-0.012365823497323625
35,DC,business close,0.2893294730625098,0.13628163774869773,0.3724782335979815,0.12955258841452744,-0.15304783531381205,-0.24292564518345405
36,FL,stay at home order,0.183376849702515,0.07423986707304531,0.2401927770699015,0.05682338769923656,-0.10913698262946969,-0.18336938937066494
37,FL,face mask mandatory,0.04701084456773996,0.027564688975364904,0.07023451236774125,0.0251056207176934,-0.01944615559237506,-0.04512889165004785
38,FL,restaurant close,0.49191496029121073,0.2754697327404023,0.40830459000664954,0.20762154504803876,-0.21644522755080842,-0.20068304495861078
39,FL,business close,0.49191496029121073,0.2754697327404023,0.40830459000664954,0.20762154504803876,-0.21644522755080842,-0.20068304495861078
40,GA,stay at home order,0.15335019350073864,0.09774166869852863,0.19802082872375526,0.07459856895872052,-0.05560852480221001,-0.12342225976503474
41,GA,face mask mandatory,0.05676646724306633,0.03890653309656478,0.07685642510720525,0.03528175007992762,-0.017859934146501555,-0.04157467502727763
42,GA,restaurant close,0.15335019350073864,0.09774166869852863,0.19802082872375526,0.07459856895872052,-0.05560852480221001,-0.12342225976503474
43,GA,business close,0.4044431847565977,0.23601389435176756,0.4420515406386041,0.18125219910698953,-0.16842929040483012,-0.26079934153161455
44,HI,stay at home order,0.33607400146542377,0.1472792857166707,0.3347120237272967,0.10955369436320561,-0.18879471574875306,-0.22515832936409108
45,HI,face mask mandatory,0.049407781103226744,0.011961969314527643,0.06683247387360747,0.0076532358747567475,-0.0374458117886991,-0.05917923799885072
46,HI,restaurant close,0.3894954943731377,0.33607400146542377,0.1659144011798317,0.23068101547226783,-0.05342149290771392,0.06476661429243613
47,HI,business close,0.33607400146542377,0.1472792857166707,0.3347120237272967,0.10955369436320561,-0.18879471574875306,-0.22515832936409108
48,ID,stay at home order,0.43120132690534296,0.24796461484881038,0.378246846389132,0.14260180977618409,-0.18323671205653258,-0.2356450366129479
49,ID,face mask mandatory,0.025064464377952733,0.017601312241318334,0.06025092922299513,0.014733503142172255,-0.007463152136634399,-0.045517426080822876
50,ID,restaurant close,0.43120132690534296,0.24796461484881038,0.378246846389132,0.14260180977618409,-0.18323671205653258,-0.2356450366129479
51,ID,business close,0.43120132690534296,0.24796461484881038,0.378246846389132,0.14260180977618409,-0.18323671205653258,-0.2356450366129479
52,IL,stay at home order,0.5701794364648223,0.23497393119167653,0.3800969043374105,0.17810967230960717,-0.33520550527314574,-0.20198723202780333
53,IL,face mask mandatory,0.05067664431545049,0.03824743270757813,0.05327456267604824,0.032256821693792403,-0.012429211607872359,-0.02101774098225584
54,IL,restaurant close,0.380291917268325,0.3812874207004593,0.267470527946047,0.28622129619641745,0.0009955034321342815,0.018750768250370475
55,IL,business close,0.5701794364648223,0.23497393119167653,0.3800969043374105,0.17810967230960717,-0.33520550527314574,-0.20198723202780333
56,IN,stay at home order,0.4300477494891979,0.24786407996493676,0.35509546433036254,0.17124742588703068,-0.18218366952426113,-0.18384803844333186
57,IN,face mask mandatory,0.013663743993779454,0.012065957740347244,0.013280968351179645,0.012324606129502591,-0.0015977862534322096,-0.000956362221677054
58,IN,restaurant close,0.34590019263235616,0.4289746210396548,0.23598751191588185,0.345233707787731,0.08307442840729862,0.10924619587184914
59,IN,business close,0.4300477494891979,0.24786407996493676,0.35509546433036254,0.17124742588703068,-0.18218366952426113,-0.18384803844333186
60,IA,stay at home order,0.21083087502153552,0.1925418261111822,0.17443317349378917,0.14631091841763144,-0.018289048910353323,-0.02812225507615773
61,IA,face mask mandatory,0.011708738769151017,0.010555567589345394,0.012784496995229544,0.010186061999318152,-0.0011531711798056232,-0.0025984349959113917
62,IA,restaurant close,0.12144824359728812,0.21083087502153552,0.16328228956777502,0.20381287803620363,0.0893826314242474,0.04053058846842861
63,IA,business close,0.22196057309875172,0.16850318885958426,0.18517277433022872,0.13203695806005444,-0.05345738423916746,-0.053135816270174274
64,KS,stay at home order,0.23921798978481168,0.11202386011333343,0.2907749310619425,0.08691051083074774,-0.12719412967147825,-0.20386442023119478
65,KS,face mask mandatory,0.02341460498195791,0.022570872930979702,0.020851059656350035,0.021694436097560388,-0.0008437320509782076,0.0008433764412103528
66,KS,restaurant close,0.23921798978481168,0.11202386011333343,0.2907749310619425,0.08691051083074774,-0.12719412967147825,-0.20386442023119478
67,KS,business close,0.23921798978481168,0.11202386011333343,0.2907749310619425,0.08691051083074774,-0.12719412967147825,-0.20386442023119478
68,KY,stay at home order,0.21331682993397938,0.09963234745296212,0.23598751191588185,0.09453379104460713,-0.11368448248101726,-0.14145372087127472
69,KY,face mask mandatory,0.03508628652035983,0.023609105567623523,0.033484633001080955,0.018913790495176386,-0.01147718095273631,-0.014570842505904569
70,KY,restaurant close,0.5551585367634633,0.2998335756488686,0.2288386014896442,0.24308942233436892,-0.2553249611145947,0.014250820844724732
71,KY,business close,0.2844342843667438,0.15557770542417848,0.3167180204218134,0.1280301959933381,-0.1288565789425653,-0.18868782442847531
72,LA,stay at home order,0.35885286673003436,0.2088842786395857,0.6017516281350721,0.18192071786813946,-0.14996858809044866,-0.41983091026693264
73,LA,face mask mandatory,0.009951410922405701,0.01302454219546334,0.011560648093859482,0.012338818800882168,0.0030731312730576388,0.0007781707070226851
74,LA,restaurant close,1.1161002022841648,0.33242627976710604,0.41878604034418765,0.2676091705637478,-0.7836739225170588,-0.15117686978043987
75,LA,business close,0.35885286673003436,0.2088842786395857,0.6017516281350721,0.18192071786813946,-0.14996858809044866,-0.41983091026693264
76,ME,stay at home order,0.13495710915022685,0.043753223377229755,0.15376053047412164,0.04590758104094661,-0.0912038857729971,-0.10785294943317503
77,ME,face mask mandatory,0.021897865099447023,0.031775565954169416,0.023209222460806034,0.026802676997424335,0.009877700854722393,0.0035934545366183013
78,ME,restaurant close,0.7170342325408496,0.16885649250096235,0.28695544523522254,0.1515921440668231,-0.5481777400398873,-0.13536330116839945
79,ME,business close,0.1880584521032842,0.13495710915022685,0.3947225488588757,0.09233485194736324,-0.05310134295305735,-0.30238769691151246
80,MD,stay at home order,0.28432121706013924,0.18754030214382977,0.2886265972250619,0.13286489562399195,-0.09678091491630947,-0.15576170160106995
81,MD,face mask mandatory,0.069419012329196,0.05179991499275993,0.10485736501755305,0.04665102969429813,-0.017619097336436074,-0.05820633532325492
82,MD,restaurant close,0.30172398368387654,0.2235719156694942,0.21688696778122485,0.23373751946027155,-0.07815206801438235,0.0168505516790467
83,MD,business close,0.2603829479827058,0.2495529549496136,0.35566197765994834,0.21125138076777428,-0.010829993033092178,-0.14441059689217406
84,MA,stay at home order,0.2695826880229626,0.22795744602358292,0.28172550666995444,0.16825368558262133,-0.04162524199937967,-0.11347182108733311
85,MA,face mask mandatory,0.025792996025502557,0.015642308817497508,0.0379420483892241,0.014062040103673734,-0.01015068720800505,-0.02388000828555037
86,MA,restaurant close,0.13292760069194132,0.32525908977620954,0.4318486011844489,0.2675270937770404,0.19233148908426823,-0.16432150740740847
87,MA,business close,0.2695826880229626,0.22795744602358292,0.28172550666995444,0.16825368558262133,-0.04162524199937967,-0.11347182108733311
88,MI,stay at home order,0.6059806876203886,0.22199032940514907,0.5732740258219584,0.1609006539897757,-0.3839903582152395,-0.4123733718321827
89,MI,face mask mandatory,0.025661055546358114,0.0177143227877663,0.02968591583984903,0.014034688755780955,-0.007946732758591812,-0.015651227084068076
90,MI,restaurant close,0.6013288855576973,0.6059806876203886,0.2457309396155174,0.39254839154562116,0.004651802062691335,0.14681745193010376
91,MI,business close,0.6059806876203886,0.22199032940514907,0.5732740258219584,0.1609006539897757,-0.3839903582152395,-0.4123733718321827
92,MN,stay at home order,0.18176506146263205,0.07981817508314903,0.25859896494214585,0.07460736959122816,-0.10194688637948301,-0.1839915953509177
93,MN,face mask mandatory,0.014500319543209628,0.015342024439406687,0.014095295229949123,0.01352201786949525,0.0008417048961970597,-0.0005732773604538721
94,MN,restaurant close,0.5257736304838363,0.21406201215996723,0.33587569500338366,0.15658920126051346,-0.31171161832386907,-0.1792864937428702
95,MN,business close,0.18176506146263205,0.07981817508314903,0.25859896494214585,0.07460736959122816,-0.10194688637948301,-0.1839915953509177
96,MS,stay at home order,0.12950652402120055,0.08895510267225037,0.2077785681873714,0.0783682017551468,-0.04055142134895018,-0.1294103664322246
97,MS,face mask mandatory,0.013953555947674223,0.011953968474637033,0.020099360826252965,0.012218460554938693,-0.00199958747303719,-0.007880900271314273
98,MS,restaurant close,0.4101524357054722,0.13502378008636606,0.4851013402168798,0.11459893415372391,-0.27512865561910615,-0.3705024060631559
99,MS,business close,0.12950652402120055,0.08895510267225037,0.2077785681873714,0.0783682017551468,-0.04055142134895018,-0.1294103664322246
100,MO,stay at home order,0.14876919025552793,0.06391813862230689,0.2415726877820208,0.04801481525177831,-0.08485105163322104,-0.19355787253024248
101,MO,face mask mandatory,0.024339825605176113,0.017805005620292302,0.03145990597534687,0.017335103690508724,-0.006534819984883811,-0.014124802284838145
102,MO,restaurant close,0.5638476551191995,0.2657063624114231,0.4152399275904428,0.18677259230522592,-0.29814129270777645,-0.2284673352852169
103,MO,business close,0.1783130039708265,0.08379602714901724,0.334082736804463,0.062238100991728995,-0.09451697682180926,-0.271844635812734
104,MT,stay at home order,0.2739026010952026,0.08181648010787201,0.3947225488588757,0.057115558082362794,-0.19208612098733058,-0.3376069907765129
105,MT,face mask mandatory,0.028220783251500015,0.022380090395091257,0.03574723839277105,0.01817967109858598,-0.005840692856408758,-0.01756756729418507
106,MT,restaurant close,0.5448576602501738,0.2739026010952026,0.2250334656419144,0.17413265286709434,-0.2709550591549712,-0.05090081277482006
107,MT,business close,0.2739026010952026,0.08181648010787201,0.3947225488588757,0.057115558082362794,-0.19208612098733058,-0.3376069907765129
108,NE,stay at home order,0.14444875795282952,0.17315386036324565,0.17191177256760737,0.1412719076578106,0.028705102410416128,-0.030639864909796755
109,NE,face mask mandatory,0.011229870264317876,0.009185963712088574,0.01140216631509583,0.008582516136536045,-0.002043906552229302,-0.002819650178559785
110,NE,restaurant close,0.18088562569371525,0.11773433245024933,0.17012450102898735,0.10650402338088982,-0.06315129324346591,-0.06362047764809753
111,NE,business close,0.14444875795282952,0.17315386036324565,0.17191177256760737,0.1412719076578106,0.028705102410416128,-0.030639864909796755
112,NV,stay at home order,0.21917019892447187,0.08865893423068005,0.2384700544472762,0.06567936228888471,-0.13051126469379182,-0.1727906921583915
113,NV,face mask mandatory,0.0307643077328843,0.039932657256133375,0.02672369800620733,0.03530601504217645,0.009168349523249075,0.008582317035969123
114,NV,restaurant close,0.45791624957628363,0.25274313743259214,0.3990547641959634,0.16805486556770388,-0.2051731121436915,-0.23099989862825954
115,NV,business close,0.45791624957628363,0.25274313743259214,0.3990547641959634,0.16805486556770388,-0.2051731121436915,-0.23099989862825954
116,NH,stay at home order,0.18557390289532516,0.14581684244426607,0.26906588098299755,0.09597007913125477,-0.03975706045105909,-0.17309580185174278
117,NH,face mask mandatory,0.004856581435205731,0.004620937766917299,0.005290042719712895,0.0043664212628589105,-0.0002356436682884322,-0.0009236214568539847
118,NH,restaurant close,0.2296169668827479,0.2256036853975938,0.20789707081543396,0.20283202699914615,-0.004013281485154119,-0.005065043816287806
119,NH,business close,0.18557390289532516,0.14581684244426607,0.26906588098299755,0.09597007913125477,-0.03975706045105909,-0.17309580185174278
120,NJ,stay at home order,0.6268423287380238,0.32030022768133337,0.4724957911158998,0.2268353479700913,-0.30654210105669044,-0.24566044314580848
121,NJ,face mask mandatory,0.1141807726100521,0.05719752952301271,0.1859252743615969,0.04739120821098686,-0.05698324308703939,-0.13853406615061004
122,NJ,restaurant close,0.557670935404831,0.4543803952687422,0.3488365750737592,0.34295385172557924,-0.10329054013608885,-0.0058827233481799635
123,NJ,business close,0.6268423287380238,0.32030022768133337,0.4724957911158998,0.2268353479700913,-0.30654210105669044,-0.24566044314580848
124,NM,stay at home order,0.23362095433145535,0.18292038137070432,0.2633545525362395,0.1562858684072177,-0.050700572960751034,-0.10706868412902182
125,NM,face mask mandatory,0.027804662396144986,0.021697517578947112,0.03436196623331966,0.018425154990313386,-0.006107144817197874,-0.015936811243006277
126,NM,restaurant close,0.32046924775612395,0.23739761068009702,0.17795794570935386,0.18419191490267628,-0.08307163707602694,0.0062339691933224195
127,NM,business close,0.23362095433145535,0.18292038137070432,0.2633545525362395,0.1562858684072177,-0.050700572960751034,-0.10706868412902182
128,NY,stay at home order,0.47663119263315723,0.1904881767431419,0.43214529935361234,0.14089563502664415,-0.28614301589001534,-0.2912496643269682
129,NY,face mask mandatory,0.039245295933908464,0.026818667860496692,0.06358887034604899,0.020014497486033678,-0.012426628073411772,-0.04357437286001531
130,NY,restaurant close,0.21443460953402327,0.4686990855486808,0.5106664960235658,0.2974303146022883,0.2542644760146575,-0.21323618142127754
131,NY,business close,0.47663119263315723,0.1904881767431419,0.43214529935361234,0.14089563502664415,-0.28614301589001534,-0.2912496643269682
132,NC,stay at home order,0.20846110603105195,0.1067095298247085,0.2896341500107882,0.08139563418637907,-0.10175157620634345,-0.2082385158244091
133,NC,face mask mandatory,0.023943589351019368,0.02146680045382321,0.026931496098233865,0.02344458607190658,-0.0024767888971961582,-0.0034869100263272834
134,NC,restaurant close,0.36561306856251186,0.30818552746755,0.3167180204218132,0.22725035464275822,-0.05742754109496184,-0.08946766577905496
135,NC,business close,0.20846110603105195,0.1067095298247085,0.2896341500107882,0.08139563418637907,-0.10175157620634345,-0.2082385158244091
136,ND,stay at home order,0.19135036661925864,0.09445227588682381,0.3671886149118455,0.07348213507476697,-0.09689809073243483,-0.29370647983707854
137,ND,face mask mandatory,0.008419521656331197,0.012762039556988736,0.009243096364341286,0.015167240334715615,0.004342517900657539,0.005924143970374329
138,ND,restaurant close,0.5927185921716722,0.188881436816283,0.24260059299451164,0.14266998818096432,-0.4038371553553892,-0.09993060481354732
139,ND,business close,0.5927185921716722,0.188881436816283,0.24260059299451164,0.14266998818096432,-0.4038371553553892,-0.09993060481354732
140,OH,stay at home order,0.35572636850225536,0.2016540911774667,0.4177854767217697,0.14705023085472124,-0.15407227732478868,-0.27073524586704845
141,OH,face mask mandatory,0.01835275453910823,0.015691605409693832,0.01931702179161565,0.013506618538952742,-0.0026611491294143974,-0.00581040325266291
142,OH,restaurant close,0.4317547693580883,0.3652351661124822,0.18232996897910025,0.28691643831050206,-0.06651960324560613,0.10458646933140181
143,OH,business close,0.35572636850225536,0.2016540911774667,0.4177854767217697,0.14705023085472124,-0.15407227732478868,-0.27073524586704845
144,OK,stay at home order,0.2783516121492511,0.18203953913095128,0.36464720807318396,0.14428924196898407,-0.0963120730182998,-0.2203579661041999
145,OK,face mask mandatory,0.03025197253236711,0.041855965644720605,0.032935449596001254,0.030651545281459525,0.011603993112353495,-0.0022839043145417293
146,OK,restaurant close,0.18203953913095128,0.09732727263543262,0.2740848530351423,0.07116211288799534,-0.08471226649551866,-0.20292274014714695
147,OK,business close,0.18203953913095128,0.09732727263543262,0.2740848530351423,0.07116211288799534,-0.08471226649551866,-0.20292274014714695
148,OR,stay at home order,0.2217737416536183,0.18604290713826344,0.19031074889841348,0.12597392844006916,-0.03573083451535486,-0.06433682045834432
149,OR,face mask mandatory,0.02635854772096269,0.02685024909171463,0.025764137464885595,0.02671354217291122,0.0004917013707519402,0.0009494047080256252
150,OR,restaurant close,0.23303267484803358,0.1982453921970555,0.22758848719364244,0.1734409834583095,-0.03478728265097808,-0.05414750373533295
151,OR,business close,0.2217737416536183,0.18604290713826344,0.19031074889841348,0.12597392844006916,-0.03573083451535486,-0.06433682045834432
152,PA,stay at home order,0.2636938587211368,0.14613462857373882,0.31452464490179843,0.10033564463887146,-0.117559230147398,-0.21418900026292698
153,PA,face mask mandatory,0.007183164908012962,0.008068482992749981,0.00658346484320016,0.00815677145065008,0.000885318084737019,0.0015733066074499202
154,PA,restaurant close,0.34590019263235616,0.357177902315551,0.29444245710919237,0.3026143633177376,0.011277709683194859,0.008171906208545243
155,PA,business close,0.34694272045693286,0.3518079716927607,0.3523095515144128,0.2727185076337728,0.004865251235827817,-0.07959104388063998
156,RI,stay at home order,0.2018112934502867,0.17736722381567227,0.29408218871813485,0.16686077190585014,-0.02444406963461443,-0.12722141681228472
157,RI,face mask mandatory,0.09700492387630155,0.06760094117620041,0.1307455752065505,0.04905363438050614,-0.02940398270010114,-0.08169194082604436
158,RI,restaurant close,0.243597070273333,0.21901365420447538,0.17682853231635498,0.22360772871139933,-0.02458341606885761,0.04677919639504435
159,RI,business close,0.2404397192344212,0.1536225155321136,0.23180250019729565,0.13616974680435168,-0.08681720370230761,-0.09563275339294397
160,SC,stay at home order,0.12151964386225989,0.052697630252157124,0.1497516083196866,0.04469127888270896,-0.06882201361010276,-0.10506032943697763
161,SC,face mask mandatory,0.04090615289630861,0.03289587388254134,0.06292365254163568,0.029370753295760554,-0.008010279013767274,-0.03355289924587512
162,SC,restaurant close,0.2917083420907467,0.28000422571143524,0.25451179898736354,0.22498544017928346,-0.011704116379311458,-0.029526358808080078
163,SC,business close,0.17267075760675588,0.08730668222518578,0.24728790539124668,0.0665711280040906,-0.08536407538157009,-0.18071677738715608
164,SD,stay at home order,0.1678564412377328,0.16836520069213412,0.1763398145748174,0.11292292032002993,0.0005087594544013196,-0.06341689425478747
165,SD,face mask mandatory,0.1374439519007653,0.044124967282095806,0.1510199501621985,0.03318447388349943,-0.0933189846186695,-0.11783547627869906
166,SD,restaurant close,0.04654408710189917,0.1852344237624306,0.05396982852783805,0.18863241974349676,0.13869033666053143,0.1346625912156587
167,SD,business close,0.1779181724076735,0.15300698912908683,0.17836491083969896,0.15381506375287501,-0.024911183278586657,-0.02454984708682395
168,TN,stay at home order,0.16841133593644253,0.07770943036723899,0.25176771526446906,0.05856239057335877,-0.09070190556920354,-0.1932053246911103
169,TN,face mask mandatory,0.048243455599507934,0.05211026659951701,0.05856239057335877,0.04718617182132223,0.003866811000009074,-0.011376218752036538
170,TN,restaurant close,0.4232047875793894,0.1888651829799899,0.5343520139862352,0.13336723988989996,-0.2343396045993995,-0.40098477409633526
171,TN,business close,0.16180471998218593,0.07221299584128515,0.2564012039220369,0.054762698439735136,-0.08959172414090077,-0.20163850548230178
172,TX,stay at home order,0.18824362693408148,0.1184738562654235,0.3082067493700389,0.08555434742060664,-0.06976977066865797,-0.22265240194943225
173,TX,face mask mandatory,0.041980664678390456,0.038865711122803015,0.04141531134311793,0.035793463238771084,-0.003114953555587441,-0.005621848104346849
174,TX,restaurant close,0.42258122275435817,0.2597011623870298,0.36061690848305994,0.1943335953881078,-0.16288006036732838,-0.16628331309495215
175,TX,business close,0.24235097601766276,0.12913340270661133,0.30981337737605674,0.09893224297593561,-0.11321757331105142,-0.21088113440012113
176,UT,stay at home order,0.16416427397644928,0.07756866219916181,0.25203863078197,0.05904475417170785,-0.08659561177728747,-0.19299387661026213
177,UT,face mask mandatory,0.07756866219916181,0.042189630572255554,0.11659011101777517,0.04409320222404878,-0.035379031626906254,-0.07249690879372639
178,UT,restaurant close,0.49891987207156197,0.24238187367152952,0.3248516801703365,0.1923631226024587,-0.25653799840003244,-0.1324885575678778
179,UT,business close,0.17726925336352806,0.0954741697149939,0.2604624875365853,0.06917444853694188,-0.08179508364853416,-0.19128803899964342
180,VT,stay at home order,0.3793510212331215,0.14687021621937357,0.35471593836795323,0.11481713547804961,-0.2324808050137479,-0.23989880288990362
181,VT,face mask mandatory,0.0025389096969512526,0.0035680703666935987,0.004220809404964276,0.004572535899803221,0.001029160669742346,0.00035172649483894425
182,VT,restaurant close,0.38949549437313746,0.394405617255839,0.1659144011798317,0.24924905698836608,0.00491012288270154,0.08333465580853439
183,VT,business close,0.394405617255839,0.11678687242048724,0.37824684638913175,0.10301904649186189,-0.27761874483535176,-0.27522779989726986
184,VA,stay at home order,0.19682012104963942,0.13697770159176526,0.22105530006756813,0.1077663080761222,-0.05984241945787416,-0.11328899199144593
185,VA,face mask mandatory,0.028805231297126088,0.018404497220280147,0.02835375246420968,0.013920500917729894,-0.010400734076845941,-0.014433251546479786
186,VA,restaurant close,0.2546383788815836,0.18756082442522937,0.3101203412195257,0.14341237034155085,-0.06707755445635422,-0.16670797087797484
187,VA,business close,0.2546383788815836,0.18756082442522937,0.3101203412195257,0.14341237034155085,-0.06707755445635422,-0.16670797087797484
188,WA,stay at home order,0.16359855728922912,0.10274305503258807,0.2046678219931075,0.09083351706384413,-0.06085550225664105,-0.11383430492926339
189,WA,face mask mandatory,0.016048386516133828,0.01662891014825929,0.014727549950352081,0.017363092934179924,0.0005805236321254625,0.0026355429838278432
190,WA,restaurant close,0.24919486210196085,0.1496797378255077,0.32729943739808576,0.12328459469122777,-0.09951512427645315,-0.204014842706858
191,WA,business close,0.11729279492390687,0.08516794505844083,0.16325223680596723,0.0779477365859036,-0.03212484986546604,-0.08530450022006364
192,WV,stay at home order,0.6876988087994671,0.20760058022924976,0.27664742559493316,0.16787250537306964,-0.48009822857021733,-0.10877492022186352
193,WV,face mask mandatory,0.027185406894514097,0.029930841121211582,0.020874595172661214,0.02727020770391997,0.002745434226697485,0.006395612531258754
194,WV,restaurant close,0.10408951367381225,0.47514529451018417,0.04729412282062673,0.2933574114747164,0.3710557808363719,0.24606328865408966
195,WV,business close,0.6876988087994671,0.20760058022924976,0.27664742559493316,0.16787250537306964,-0.48009822857021733,-0.10877492022186352
196,WI,stay at home order,0.27637582980171294,0.1363656527657593,0.4212450793875253,0.10279738960770435,-0.14001017703595364,-0.31844768977982096
197,WI,face mask mandatory,0.016665144919869812,0.013588299186760189,0.018550536856133837,0.012159315741627763,-0.0030768457331096233,-0.006391221114506074
198,WI,restaurant close,0.620403078620632,0.27637582980171294,0.3478208741268516,0.20461800239706918,-0.3440272488189191,-0.1432028717297824
199,WI,business close,0.27637582980171294,0.1363656527657593,0.4212450793875253,0.10279738960770435,-0.14001017703595364,-0.31844768977982096
200,WY,stay at home order,0.1554783521665397,0.15410929429394704,0.28695544523522254,0.10709236437577219,-0.0013690578725926716,-0.17986308085945035
201,WY,face mask mandatory,0.01787679746526627,0.011879883943189062,0.019618009192618135,0.0114517464418471,-0.005996913522077207,-0.008166262750771036
202,WY,restaurant close,0.5112093905094031,0.18690049599337466,0.21250861690062184,0.15335037645610305,-0.3243088945160284,-0.059158240444518784
203,WY,business close,0.5112093905094031,0.18690049599337466,0.21250861690062184,0.15335037645610305,-0.3243088945160284,-0.059158240444518784
