,STATE,POSTCODE,FIPS,STEMERG(start),CLSCHOOL(start),CLDAYCR(start),OPNCLDCR(end),CLNURSHM(start),STAYHOME(start),STAYHOMENOGP(start),END_STHM(end),CLBSNS(start),END_BSNS(end),RELIGEX(attribute),FM_ALL(start),FMFINE(attribute),FMCITE(attribute),FMNOENF(attribute),FM_EMP(start),FM_END(end),FM_STP(start),ALCOPEN(attribute),ALCREST(start),ALCDELIV(start),GUNOPEN(attribute),CLREST(start),ENDREST(end),RSTOUTDR(attribute),CLGYM(start),ENDGYM(end),CLMOVIE(start),END_MOV(end),CLOSEBAR(start),END_BRS(end),END_HAIR(end),END_RELG(end),ENDRETL(end),BCLBAR2(start),CLBAR2(start),CLMV2(start),CLGYM2(start),CLRST2(start),QRSOMEST(start),QR_ALLST(start),QR_END(end),EVICINTN(start),EVICINRESUME(end),EVICENF(start),EVICSTPTWO(start),EVICCOURTCL(start),EVICCOURTRE(end),EVICEND(end),RNTGP(start),UTILSO(start),UTILGAS_SO2(start),UTILGAS_END(end),UTILGAS_SO2.1(start),UTILELEC_SO(start),UTILELEC_END(end),UTILELEC_SO2(start),UTILWAT_SO(start),UTILWAT_END(end),UTILWAT_SO2(start),UTILTEL_SO(start),UTILTEL_END(end),UTILTEL_SO2(start),MORGFR(start),SNAPALLO(start),SNAPEBT(start),SNAPSUSP(start),SNAPTLW(attribute),MED1135W(start),ACAENROL(start),PREVTLHL(attribute),TLHLAUD(start),TLHLMED(start),CHIPLKOT(attribute),LKOTSUS(attribute),TESTMAR(attribute),TESTAPR(attribute),TESTMAY(attribute),TESTJUN(attribute),TESTAUG(attribute),CASEMAR(attribute),CASEAPR(attribute),CASEMAY(attribute),CASEJUN(attribute),CASEAUG(attribute),HOSPMAR(attribute),HOSPAPR(attribute),HOSPMAY(attribute),HOSPJUN(attribute),HOSPAUG(attribute),DEATHMAR(attribute),DEATHAPR(attribute),DEATHMAY(attribute),DEATHJUN(attribute),DEATHAUG(attribute),TST_AIANJUL(attribute),TST_AIANAUG(attribute),TST2_AIANJUL(attribute),TST2_AIANAUG(attribute),HOSPAIANJUL(attribute),HOSPAIANAUG(attribute),DTH_AIANJUL(attribute),DTH_AIANAUG(attribute),AIANRESN(attribute),VISITPER(start),VISITATT(start),VISITRES(end),NOCOPAY(attribute),NOPAYCOV(attribute),NOPAYALL(attribute),YESCOPAY(attribute),ELECPRCR(start),ENDELECP(attribute),WTPRD(attribute),WV_WTPRD(start),WV_WKSR(attribute),REI_WKSR(attribute),UIQUAR(attribute),UIHIRISK(attribute),UICLDCR(attribute),UIEXTND(attribute),UIMAXAMT(quantity),UIMAXEXT(quantity),UIMAXDUR(quantity),UIMAXCAR(quantity),LMABRN(note),TLHlBUPR(start),EXTOPFL(start),HMDLVOP(start),TLHLCL24(start),EXCEMORP(start),WVDEAREQ(start),PDSKLV(attribute),MEDEXP(attribute),POPDEN18(quantity),POP18(quantity),SQML(quantity),HMLS19(quantity),UNEMP18(quantity),POV18(quantity),RISKCOV(quantity),DEATH18(quantity),MH19(quantity),VBMEXC(attribute),VBMSIG(attribute),VBMPERM(attribute),VBMAUTOBAL(attribute),VBMAUTOAP(attribute),VBMGENELEC(date)
36,New York,NY,36,2020-03-07 00:00:00,2020-03-18 00:00:00,0,0,2020-03-13 00:00:00,2020-03-22 00:00:00,0,2020-06-27 00:00:00,2020-03-22 00:00:00,2020-06-08 00:00:00,1,2020-04-17 00:00:00,1,0,0,2020-04-17 00:00:00,0,0,1,2020-03-16 00:00:00,2020-03-16 00:00:00,0,2020-03-16 00:00:00,2020-06-22 00:00:00,1,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-03-16 00:00:00,0,2020-06-22 00:00:00,2020-06-22 00:00:00,2020-06-08 00:00:00,0,0,0,0,0,2020-06-25 00:00:00,0,0,2020-03-20 00:00:00,0,2020-03-20 00:00:00,0,2020-03-16 00:00:00,0,0,0,2020-03-13 00:00:00,2020-06-17 00:00:00,0,0,2020-06-17 00:00:00,0,0,2020-06-17 00:00:00,0,0,2020-06-17 00:00:00,0,0,2020-03-21 00:00:00,2020-04-01 00:00:00,2020-05-06 00:00:00,0,1,2020-03-26 00:00:00,2020-03-16 00:00:00,0,2020-03-15 00:00:00,2020-03-01 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,2020-03-14 00:00:00,0,2020-08-05 00:00:00,1,0,0,0,2020-03-20 00:00:00,2020-06-08 00:00:00,0,2020-03-12 00:00:00,0,0,0,0,0,0,504,1104,26,39,0,0,0,0,2020-03-27 00:00:00,0,0,0,1,358.21,19542209,54555,92091,5,13.6,36.9,157183,291.1,0,0,0,0,2,2020-10-27 00:00:00
37,North Carolina,NC,37,2020-03-10 00:00:00,2020-03-16 00:00:00,0,0,2020-03-23 00:00:00,2020-03-30 00:00:00,0,2020-05-22 00:00:00,2020-03-30 00:00:00,2020-05-08 00:00:00,1,2020-06-26 00:00:00,0,1,0,2020-06-26 00:00:00,0,0,1,2020-03-17 00:00:00,2020-03-17 00:00:00,1,2020-03-17 00:00:00,2020-05-22 00:00:00,0,2020-03-25 00:00:00,2020-09-04 00:00:00,2020-03-25 00:00:00,0,2020-03-17 00:00:00,0,2020-05-22 00:00:00,2020-05-16 00:00:00,2020-05-08 00:00:00,0,0,0,0,0,0,0,0,2020-05-30 00:00:00,2020-06-21 00:00:00,0,0,2020-03-13 00:00:00,2020-06-21 00:00:00,2020-06-21 00:00:00,0,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-09-01 00:00:00,0,2020-03-19 00:00:00,2020-09-01 00:00:00,0,2020-03-19 00:00:00,2020-09-01 00:00:00,0,0,0,0,0,2020-03-27 00:00:00,2020-04-16 00:00:00,2020-04-13 00:00:00,0,2020-03-23 00:00:00,0,0,0,2020-03-23 00:00:00,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2020-03-13 00:00:00,0,0,0,1,0,0,0,2020-05-01 00:00:00,0,2020-03-17 00:00:00,1,1,1,1,0,0,350,950,12,25,0,0,0,0,0,0,0,0,0,192.94,10383620,53819,9314,5,14,39,93885,243.6,0,0,0,0,0,2020-10-27 00:00:00
38,North Dakota,ND,38,2020-03-13 00:00:00,2020-03-16 00:00:00,0,0,2020-04-06 00:00:00,0,0,0,2020-03-20 00:00:00,2020-05-01 00:00:00,0,0,0,0,0,2020-04-28 00:00:00,0,0,1,0,0,1,2020-03-20 00:00:00,2020-05-01 00:00:00,0,2020-03-20 00:00:00,2020-05-01 00:00:00,2020-03-20 00:00:00,2020-05-01 00:00:00,2020-03-20 00:00:00,2020-05-01 00:00:00,2020-05-01 00:00:00,0,2020-05-01 00:00:00,0,0,0,0,0,2020-03-28 00:00:00,0,2020-09-21 00:00:00,0,2020-04-22 00:00:00,0,0,2020-03-26 00:00:00,2020-04-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-01 00:00:00,2020-05-01 00:00:00,0,1,2020-03-24 00:00:00,0,0,2020-03-20 00:00:00,2020-03-20 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-06-27 00:00:00,0,1,0,0,0,0,0,2020-04-01 00:00:00,1,2,1,0,0,0,618,1218,26,39,0,0,0,0,0,0,0,0,1,10.75,760077,70698,557,2.8,10.7,34.6,6445,188.4,0,0,0,0,1,0
39,Ohio,OH,39,2020-03-09 00:00:00,2020-03-17 00:00:00,2020-03-26 00:00:00,2020-05-31 00:00:00,2020-03-11 00:00:00,2020-03-24 00:00:00,0,2020-05-20 00:00:00,2020-03-24 00:00:00,2020-05-04 00:00:00,1,2020-07-23 00:00:00,0,0,1,2020-04-29 00:00:00,0,0,1,2020-04-07 00:00:00,2020-04-07 00:00:00,1,2020-03-15 00:00:00,2020-05-15 00:00:00,1,2020-03-17 00:00:00,2020-05-22 00:00:00,2020-03-17 00:00:00,2020-06-10 00:00:00,2020-03-15 00:00:00,2020-05-15 00:00:00,2020-05-15 00:00:00,0,2020-05-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-26 00:00:00,2020-05-11 00:00:00,2020-04-13 00:00:00,1,2020-04-22 00:00:00,0,0,2020-03-19 00:00:00,2020-03-09 00:00:00,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2020-03-10 00:00:00,0,2020-07-08 00:00:00,0,1,0,0,2020-03-18 00:00:00,2020-05-01 00:00:00,0,2020-03-16 00:00:00,1,1,1,1,0,0,647,1247,26,39,1,0,0,0,0,0,0,0,1,260.77,11689442,44826,10345,4.9,13.9,39.8,124264,245.1,0,0,0,0,0,2020-10-31 00:00:00
40,Oklahoma,OK,40,2020-03-15 00:00:00,2020-03-17 00:00:00,0,0,2020-03-16 00:00:00,0,2020-04-01 00:00:00,2020-05-15 00:00:00,2020-04-01 00:00:00,2020-04-24 00:00:00,0,0,0,0,0,0,0,0,1,2020-03-23 00:00:00,2020-03-24 00:00:00,1,2020-04-01 00:00:00,2020-05-01 00:00:00,0,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-03-25 00:00:00,2020-05-15 00:00:00,2020-04-24 00:00:00,2020-05-01 00:00:00,2020-04-24 00:00:00,0,0,0,0,0,2020-03-29 00:00:00,0,2020-05-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-30 00:00:00,0,2020-04-13 00:00:00,0,2020-03-24 00:00:00,0,0,2020-03-25 00:00:00,2020-03-16 00:00:00,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,2020-03-13 00:00:00,0,2020-07-30 00:00:00,0,1,0,0,2020-03-24 00:00:00,2020-04-30 00:00:00,0,2020-03-21 00:00:00,1,1,0,0,0,0,539,1139,26,39,1,0,0,0,0,0,0,0,0,56.41,3943079,69899,3944,4.4,15.6,40.8,40933,401.4,0,1,0,0,0,2020-10-27 00:00:00
41,Oregon,OR,41,2020-03-08 00:00:00,2020-03-16 00:00:00,2020-03-25 00:00:00,2020-05-16 00:00:00,0,2020-03-23 00:00:00,0,2020-06-19 00:00:00,2020-03-23 00:00:00,2020-05-15 00:00:00,0,2020-07-01 00:00:00,0,0,1,2020-05-09 00:00:00,0,0,1,2020-03-19 00:00:00,2020-03-19 00:00:00,1,2020-03-17 00:00:00,2020-06-19 00:00:00,0,2020-03-24 00:00:00,2020-06-19 00:00:00,2020-03-24 00:00:00,0,2020-03-17 00:00:00,2020-06-19 00:00:00,2020-06-19 00:00:00,2020-05-15 00:00:00,2020-05-15 00:00:00,0,0,0,0,0,0,0,0,2020-04-01 00:00:00,0,2020-03-22 00:00:00,0,2020-03-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-06 00:00:00,2020-04-29 00:00:00,2020-04-13 00:00:00,1,2020-03-25 00:00:00,0,0,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2020-03-13 00:00:00,2020-03-13 00:00:00,0,1,0,0,0,2020-03-18 00:00:00,2020-05-01 00:00:00,0,0,1,1,1,0,1,0,648,1248,26,39,0,0,0,0,0,0,0,1,1,42.6,4190713,98379,15876,5,12.6,39.8,36187,522.3,0,0,1,0,0,0
42,Pennsylvania,PA,42,2020-03-06 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-06-05 00:00:00,2020-03-17 00:00:00,2020-04-01 00:00:00,0,2020-06-05 00:00:00,2020-03-19 00:00:00,2020-06-05 00:00:00,1,2020-07-01 00:00:00,0,0,1,2020-04-19 00:00:00,0,0,1,2020-03-18 00:00:00,0,1,2020-03-17 00:00:00,2020-06-05 00:00:00,1,2020-03-19 00:00:00,2020-07-03 00:00:00,2020-03-19 00:00:00,2020-07-03 00:00:00,2020-03-19 00:00:00,2020-06-05 00:00:00,2020-07-03 00:00:00,0,2020-06-05 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,0,0,0,0,0,0,2020-05-07 00:00:00,2020-05-11 00:00:00,2020-03-20 00:00:00,0,2020-03-20 00:00:00,2020-06-01 00:00:00,2020-09-01 00:00:00,0,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,2020-03-13 00:00:00,0,0,2020-03-13 00:00:00,0,0,2020-03-13 00:00:00,0,0,0,2020-04-02 00:00:00,2020-05-06 00:00:00,2020-04-10 00:00:00,1,2020-03-27 00:00:00,0,0,2020-03-15 00:00:00,2020-03-20 00:00:00,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2020-03-13 00:00:00,0,0,0,1,0,0,2020-03-20 00:00:00,2020-04-27 00:00:00,0,2020-03-27 00:00:00,1,1,1,0,0,0,572,1172,26,39,1,2020-03-25 00:00:00,2020-03-18 00:00:00,0,2019-10-24 00:00:00,0,0,0,1,278.09,12807060,46054,13199,4.9,12.2,39.8,134702,206.2,0,0,0,0,0,2020-10-27 00:00:00
43,Rhode Island,RI,44,2020-03-09 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-06-01 00:00:00,2020-03-13 00:00:00,2020-03-28 00:00:00,0,2020-05-09 00:00:00,2020-03-30 00:00:00,2020-05-09 00:00:00,0,2020-04-18 00:00:00,0,0,1,2020-04-18 00:00:00,0,0,1,2020-05-08 00:00:00,0,1,2020-03-17 00:00:00,2020-05-18 00:00:00,1,2020-03-23 00:00:00,2020-06-01 00:00:00,2020-03-23 00:00:00,2020-06-30 00:00:00,2020-03-17 00:00:00,2020-06-01 00:00:00,2020-06-01 00:00:00,2020-05-30 00:00:00,2020-05-09 00:00:00,0,0,0,0,0,2020-03-26 00:00:00,2020-03-28 00:00:00,0,2020-03-19 00:00:00,2020-06-01 00:00:00,2020-04-10 00:00:00,0,2020-03-17 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,0,2020-03-16 00:00:00,2020-03-16 00:00:00,0,0,2020-03-16 00:00:00,0,0,2020-03-16 00:00:00,0,0,0,0,0,0,2020-03-25 00:00:00,2020-04-10 00:00:00,2020-04-13 00:00:00,1,2020-03-25 00:00:00,2020-03-14 00:00:00,0,2020-03-18 00:00:00,2020-03-18 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,2020-03-11 00:00:00,0,0,0,0,1,0,0,0,0,2020-03-12 00:00:00,1,1,1,1,1,0,732,1332,26,39,0,2020-04-13 00:00:00,0,2020-04-13 00:00:00,0,0,0,1,1,684.35,1057315,1545,1055,5.5,12.9,38.3,10083,409.5,0,0,0,0,2,2020-10-13 00:00:00
44,South Carolina,SC,45,2020-03-13 00:00:00,2020-03-16 00:00:00,0,0,2020-03-15 00:00:00,2020-04-07 00:00:00,0,2020-05-04 00:00:00,2020-04-01 00:00:00,2020-04-20 00:00:00,1,0,1,1,0,2020-08-03 00:00:00,0,0,1,2020-03-21 00:00:00,0,1,2020-03-18 00:00:00,2020-05-04 00:00:00,1,2020-04-01 00:00:00,2020-05-18 00:00:00,2020-04-01 00:00:00,2020-08-03 00:00:00,2020-03-18 00:00:00,2020-05-04 00:00:00,2020-05-18 00:00:00,0,2020-04-20 00:00:00,0,0,0,0,0,2020-03-27 00:00:00,0,2020-05-04 00:00:00,2020-03-17 00:00:00,2020-05-15 00:00:00,0,0,0,0,2020-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-24 00:00:00,2020-06-18 00:00:00,2020-04-10 00:00:00,0,2020-03-30 00:00:00,0,0,2020-03-19 00:00:00,2020-03-15 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2020-03-12 00:00:00,0,0,0,1,0,0,0,0,0,2020-03-19 00:00:00,1,1,0,0,0,0,326,926,20,33,0,0,0,0,0,0,0,0,0,158.78,5084127,32020,4172,5.3,15.3,41.4,50640,174.1,1,1,0,0,0,2020-10-30 00:00:00
45,South Dakota,SD,46,2020-03-13 00:00:00,2020-03-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-09 00:00:00,0,0,1,2020-03-24 00:00:00,0,0,2020-04-15 00:00:00,2020-03-23 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,2020-03-12 00:00:00,0,0,0,1,0,0,2020-03-23 00:00:00,2020-04-28 00:00:00,0,2020-03-28 00:00:00,1,2,1,0,0,0,414,1014,26,39,0,0,0,0,0,0,0,0,0,11.44,882235,77116,995,3,13.1,35.3,7971,179,0,0,0,0,1,0
46,Tennessee,TN,47,2020-03-12 00:00:00,2020-03-20 00:00:00,0,0,2020-03-23 00:00:00,2020-04-02 00:00:00,0,2020-04-29 00:00:00,2020-04-01 00:00:00,2020-04-27 00:00:00,1,0,0,0,0,0,0,0,1,2020-03-23 00:00:00,2020-03-23 00:00:00,1,2020-03-23 00:00:00,2020-04-27 00:00:00,0,2020-03-23 00:00:00,2020-05-01 00:00:00,2020-03-23 00:00:00,2020-05-22 00:00:00,2020-03-23 00:00:00,2020-05-22 00:00:00,2020-05-06 00:00:00,0,2020-04-27 00:00:00,0,0,0,0,0,0,0,0,2020-03-25 00:00:00,2020-06-01 00:00:00,0,0,2020-03-13 00:00:00,2020-06-01 00:00:00,2020-06-01 00:00:00,0,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-08-29 00:00:00,0,2020-03-31 00:00:00,2020-08-29 00:00:00,0,2020-03-31 00:00:00,0,0,0,0,0,0,2020-03-24 00:00:00,2020-05-19 00:00:00,0,1,2020-03-30 00:00:00,0,0,2020-03-19 00:00:00,2020-03-13 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,2020-03-12 00:00:00,1,0,0,0,1,0,2020-03-24 00:00:00,2020-05-01 00:00:00,0,2020-03-19 00:00:00,1,1,1,0,1,0,275,875,26,39,1,0,0,0,0,0,0,0,0,160.64,6770010,42144,7467,5.5,15.3,41.6,71078,153,1,0,0,0,0,2020-10-27 00:00:00
47,Texas,TX,48,2020-03-13 00:00:00,2020-03-23 00:00:00,0,0,2020-03-21 00:00:00,0,2020-04-02 00:00:00,2020-05-01 00:00:00,2020-03-31 00:00:00,2020-05-01 00:00:00,1,2020-07-03 00:00:00,1,0,0,2020-05-08 00:00:00,0,2020-04-27 00:00:00,1,2020-03-19 00:00:00,2020-03-19 00:00:00,1,2020-03-21 00:00:00,2020-05-01 00:00:00,0,2020-03-21 00:00:00,2020-05-18 00:00:00,2020-03-31 00:00:00,2020-05-01 00:00:00,2020-03-20 00:00:00,2020-05-29 00:00:00,2020-05-08 00:00:00,0,2020-05-01 00:00:00,2020-06-26 00:00:00,2020-06-26 00:00:00,0,0,0,2020-03-26 00:00:00,0,2020-05-21 00:00:00,2020-03-19 00:00:00,2020-05-19 00:00:00,2020-03-19 00:00:00,0,0,0,2020-05-19 00:00:00,0,2020-03-26 00:00:00,0,0,0,2020-03-26 00:00:00,2020-06-13 00:00:00,0,2020-03-26 00:00:00,2020-06-13 00:00:00,0,0,0,0,0,2020-04-06 00:00:00,2020-05-08 00:00:00,2020-04-10 00:00:00,0,2020-03-30 00:00:00,0,0,2020-03-17 00:00:00,2020-03-17 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,1,0,0,2020-03-22 00:00:00,2020-05-08 00:00:00,0,2020-03-17 00:00:00,1,1,1,1,1,0,521,1121,26,39,1,0,0,0,0,0,0,0,0,106.86,28701845,268596,25848,4.9,14.9,34.8,202211,111.8,1,0,0,0,0,2020-10-23 00:00:00
48,Utah,UT,49,2020-03-06 00:00:00,2020-03-16 00:00:00,0,0,2020-04-01 00:00:00,0,0,0,0,0,0,2020-04-10 00:00:00,0,0,1,2020-04-10 00:00:00,2020-05-01 00:00:00,0,1,0,0,1,2020-03-19 00:00:00,2020-05-01 00:00:00,0,0,0,0,0,2020-03-18 00:00:00,2020-05-01 00:00:00,2020-05-01 00:00:00,2020-05-06 00:00:00,0,0,0,0,0,0,0,2020-04-10 00:00:00,2020-05-01 00:00:00,0,2020-05-15 00:00:00,2020-04-01 00:00:00,0,0,0,2020-05-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-15 00:00:00,0,0,1,2020-04-10 00:00:00,0,0,2020-03-25 00:00:00,2020-03-20 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-03-12 00:00:00,0,0,0,1,0,0,2020-03-25 00:00:00,2020-04-22 00:00:00,0,2020-04-26 00:00:00,0,0,1,0,0,0,580,1180,26,39,0,0,0,0,0,0,0,0,1,37.23,3161105,84897,2798,3.2,9,30,18354,335.5,0,0,1,0,0,0
49,Vermont,VT,50,2020-03-13 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-06-01 00:00:00,2020-03-13 00:00:00,2020-03-24 00:00:00,0,2020-05-15 00:00:00,2020-03-25 00:00:00,2020-04-27 00:00:00,0,2020-08-01 00:00:00,0,0,1,2020-04-17 00:00:00,0,0,1,2020-03-20 00:00:00,2020-03-20 00:00:00,1,2020-03-17 00:00:00,2020-05-22 00:00:00,1,2020-03-23 00:00:00,2020-06-01 00:00:00,2020-03-25 00:00:00,2020-06-01 00:00:00,2020-03-17 00:00:00,2020-05-22 00:00:00,2020-05-29 00:00:00,2020-05-23 00:00:00,2020-04-27 00:00:00,0,0,0,0,0,2020-06-08 00:00:00,2020-03-30 00:00:00,0,2020-05-14 00:00:00,0,2020-05-14 00:00:00,0,2020-03-17 00:00:00,0,0,0,2020-03-18 00:00:00,2020-03-18 00:00:00,0,0,2020-03-18 00:00:00,0,0,2020-03-27 00:00:00,0,0,2020-03-18 00:00:00,0,0,0,2020-03-27 00:00:00,2020-05-04 00:00:00,0,1,2020-03-30 00:00:00,2020-03-20 00:00:00,0,2020-03-20 00:00:00,2020-03-30 00:00:00,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,2020-03-13 00:00:00,0,0,1,0,0,0,2020-03-20 00:00:00,2020-05-04 00:00:00,0,2020-04-15 00:00:00,1,1,1,0,1,0,513,1113,26,39,0,0,0,0,0,0,0,1,1,65.13,626299,9616,1089,3.8,11,39.1,6027,452.3,0,0,0,2,2,0
50,Virginia,VA,51,2020-03-12 00:00:00,2020-03-16 00:00:00,0,0,0,2020-03-30 00:00:00,0,2020-05-29 00:00:00,2020-03-25 00:00:00,2020-05-29 00:00:00,0,2020-05-29 00:00:00,0,1,0,2020-05-29 00:00:00,0,0,1,2020-03-16 00:00:00,2020-03-19 00:00:00,1,2020-03-25 00:00:00,2020-05-29 00:00:00,1,2020-03-25 00:00:00,2020-06-12 00:00:00,2020-03-25 00:00:00,2020-07-01 00:00:00,2020-03-24 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,0,0,0,0,0,0,0,0,0,2020-04-22 00:00:00,2020-06-08 00:00:00,2020-08-10 00:00:00,2020-03-16 00:00:00,2020-04-22 00:00:00,0,0,2020-03-16 00:00:00,2020-03-16 00:00:00,0,0,2020-03-16 00:00:00,0,0,2020-03-16 00:00:00,0,0,0,0,0,0,2020-03-24 00:00:00,2020-04-25 00:00:00,2020-04-13 00:00:00,1,2020-03-23 00:00:00,0,0,2020-03-19 00:00:00,2020-03-19 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2020-03-13 00:00:00,2020-03-13 00:00:00,0,1,0,0,0,2020-03-25 00:00:00,2020-05-01 00:00:00,0,2020-03-17 00:00:00,1,1,1,0,0,0,378,978,26,39,0,0,0,0,0,0,0,0,1,199.13,8517685,42775,5783,4.2,10.7,35.9,69359,171.9,0,0,0,0,0,2020-10-23 00:00:00
51,Washington,WA,53,2020-02-29 00:00:00,2020-03-17 00:00:00,0,0,2020-03-16 00:00:00,2020-03-23 00:00:00,0,2020-06-01 00:00:00,2020-03-25 00:00:00,2020-06-01 00:00:00,0,2020-06-26 00:00:00,1,1,0,2020-05-04 00:00:00,0,0,1,2020-03-24 00:00:00,2020-03-24 00:00:00,0,2020-03-16 00:00:00,2020-07-03 00:00:00,0,2020-03-16 00:00:00,2020-08-27 00:00:00,2020-03-16 00:00:00,0,2020-03-16 00:00:00,2020-07-03 00:00:00,2020-07-03 00:00:00,2020-06-01 00:00:00,2020-07-03 00:00:00,0,0,0,0,0,0,0,0,2020-03-18 00:00:00,0,2020-03-18 00:00:00,0,2020-03-20 00:00:00,0,0,0,2020-04-17 00:00:00,2020-04-17 00:00:00,0,0,2020-04-17 00:00:00,0,0,2020-04-17 00:00:00,0,0,2020-04-17 00:00:00,0,0,0,2020-03-27 00:00:00,2020-05-22 00:00:00,0,1,2020-03-19 00:00:00,2020-03-10 00:00:00,0,2020-03-25 00:00:00,2020-03-25 00:00:00,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-03-13 00:00:00,0,0,0,1,0,0,2020-03-19 00:00:00,2020-05-18 00:00:00,0,2020-03-18 00:00:00,1,1,1,0,0,0,790,1390,26,39,0,0,0,0,0,0,0,1,1,105.69,7535591,71298,21577,4.3,10.3,35.1,56877,373.3,0,0,1,0,0,0
52,West Virginia,WV,54,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-26 00:00:00,2020-04-30 00:00:00,2020-08-12 00:00:00,2020-03-24 00:00:00,0,2020-05-05 00:00:00,2020-03-24 00:00:00,2020-05-04 00:00:00,1,2020-07-07 00:00:00,0,0,1,2020-05-04 00:00:00,0,0,1,2020-03-18 00:00:00,2020-03-18 00:00:00,1,2020-03-18 00:00:00,2020-05-04 00:00:00,1,2020-03-19 00:00:00,2020-05-18 00:00:00,2020-03-24 00:00:00,2020-06-05 00:00:00,2020-03-18 00:00:00,2020-05-26 00:00:00,2020-05-04 00:00:00,0,2020-05-21 00:00:00,2020-07-14 00:00:00,0,0,0,0,2020-03-31 00:00:00,0,2020-05-21 00:00:00,2020-04-22 00:00:00,2020-05-18 00:00:00,0,0,2020-03-23 00:00:00,2020-05-18 00:00:00,2020-05-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-27 00:00:00,2020-04-30 00:00:00,0,1,2020-03-30 00:00:00,0,0,2020-03-16 00:00:00,2020-03-17 00:00:00,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2020-03-11 00:00:00,0,0,0,0,1,0,2020-04-01 00:00:00,2020-04-27 00:00:00,0,2020-03-19 00:00:00,1,1,1,0,0,0,424,1024,26,39,1,0,0,0,2020-03-31 00:00:00,2020-03-31 00:00:00,0,0,1,74.53,1805832,24230,1397,5.8,17.8,49.3,23478,127.8,0,0,0,0,2,2020-10-28 00:00:00
53,Wisconsin,WI,55,2020-03-12 00:00:00,2020-03-18 00:00:00,0,0,0,2020-03-25 00:00:00,0,2020-05-13 00:00:00,2020-03-25 00:00:00,2020-05-11 00:00:00,0,2020-08-01 00:00:00,1,0,0,2020-08-01 00:00:00,0,0,1,2020-03-20 00:00:00,0,1,2020-03-17 00:00:00,2020-05-13 00:00:00,0,2020-03-25 00:00:00,2020-05-13 00:00:00,2020-03-25 00:00:00,2020-05-13 00:00:00,2020-03-17 00:00:00,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-05-11 00:00:00,0,0,0,0,0,0,0,0,2020-03-27 00:00:00,2020-05-26 00:00:00,2020-03-27 00:00:00,0,0,0,2020-05-27 00:00:00,0,2020-03-13 00:00:00,2020-03-13 00:00:00,0,0,2020-03-13 00:00:00,0,0,2020-03-13 00:00:00,0,0,0,0,0,0,2020-04-01 00:00:00,2020-04-22 00:00:00,0,1,2020-04-20 00:00:00,0,0,2020-03-17 00:00:00,2020-03-12 00:00:00,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2020-03-13 00:00:00,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,370,970,26,39,0,0,0,0,0,0,0,0,0,88.76,5813568,65496,4538,3.2,11,36.5,53684,200.2,0,1,0,0,1,2020-10-29 00:00:00
54,Wyoming,WY,56,2020-03-13 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-05-01 00:00:00,0,0,0,0,2020-03-19 00:00:00,2020-05-01 00:00:00,0,0,0,0,0,2020-05-01 00:00:00,0,0,1,2020-03-30 00:00:00,0,1,2020-03-19 00:00:00,2020-05-15 00:00:00,0,2020-03-19 00:00:00,2020-05-01 00:00:00,2020-03-19 00:00:00,2020-05-15 00:00:00,2020-03-19 00:00:00,2020-05-15 00:00:00,2020-05-01 00:00:00,2020-05-15 00:00:00,0,0,0,0,0,0,0,2020-04-03 00:00:00,2020-05-08 00:00:00,0,0,0,0,0,0,0,2020-05-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-01 00:00:00,2020-04-16 00:00:00,0,0,2020-03-27 00:00:00,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,2020-03-18 00:00:00,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,508,1108,26,39,0,0,0,0,0,0,0,0,0,5.91,577737,97813,548,3.9,11.1,36.4,5070,343.2,0,0,0,0,1,0
